height:16, width:30, mines:99, trial count:100000000

3BV (3BV, Count)
79, 1
83, 2
84, 2
85, 2
86, 3
87, 4
88, 11
89, 8
90, 19
91, 14
92, 24
93, 38
94, 56
95, 85
96, 98
97, 143
98, 183
99, 259
100, 339
101, 477
102, 594
103, 787
104, 1015
105, 1272
106, 1640
107, 2125
108, 2819
109, 3350
110, 4106
111, 5412
112, 6413
113, 7918
114, 9795
115, 11971
116, 14782
117, 17552
118, 21392
119, 25588
120, 30486
121, 36571
122, 43295
123, 50805
124, 60298
125, 70231
126, 81740
127, 95039
128, 109273
129, 126370
130, 144859
131, 166217
132, 188498
133, 213286
134, 240953
135, 271258
136, 304046
137, 338319
138, 377787
139, 418039
140, 461063
141, 507211
142, 556667
143, 608272
144, 663358
145, 720257
146, 780165
147, 840115
148, 902177
149, 967800
150, 1033810
151, 1099221
152, 1165991
153, 1235012
154, 1299889
155, 1369827
156, 1434608
157, 1498790
158, 1561302
159, 1622691
160, 1680887
161, 1734343
162, 1785592
163, 1833317
164, 1874828
165, 1917550
166, 1952134
167, 1981980
168, 2007649
169, 2027576
170, 2040339
171, 2050155
172, 2052084
173, 2050717
174, 2041834
175, 2028995
176, 2013449
177, 1993968
178, 1963928
179, 1931484
180, 1894545
181, 1853709
182, 1811530
183, 1765514
184, 1714576
185, 1661571
186, 1607621
187, 1550468
188, 1489557
189, 1432133
190, 1372242
191, 1312175
192, 1247625
193, 1190276
194, 1126243
195, 1068841
196, 1009380
197, 950103
198, 893867
199, 840980
200, 786837
201, 736283
202, 685519
203, 636706
204, 590780
205, 545933
206, 507507
207, 467738
208, 430664
209, 394387
210, 361949
211, 330592
212, 302361
213, 274225
214, 250042
215, 227347
216, 206293
217, 185957
218, 167557
219, 150050
220, 135076
221, 121595
222, 107949
223, 96878
224, 86272
225, 76679
226, 68360
227, 60485
228, 53535
229, 47114
230, 41361
231, 36144
232, 31994
233, 27806
234, 24677
235, 21295
236, 18536
237, 16204
238, 13646
239, 12181
240, 10556
241, 9182
242, 7734
243, 6644
244, 5815
245, 4873
246, 4189
247, 3631
248, 2922
249, 2609
250, 2275
251, 1869
252, 1527
253, 1372
254, 1144
255, 933
256, 793
257, 634
258, 592
259, 460
260, 355
261, 299
262, 269
263, 213
264, 175
265, 131
266, 124
267, 85
268, 76
269, 77
270, 45
271, 50
272, 29
273, 29
274, 16
275, 22
276, 12
277, 12
278, 12
279, 13
280, 10
281, 4
282, 3
283, 3
285, 2
286, 3
287, 1
288, 1
291, 1

Islands (Islands, Count)
1, 21870
2, 162451
3, 622169
4, 1657244
5, 3404962
6, 5766402
7, 8333295
8, 10554589
9, 11924109
10, 12182587
11, 11384263
12, 9800298
13, 7838599
14, 5842141
15, 4079576
16, 2685752
17, 1664738
18, 977276
19, 543019
20, 286684
21, 144834
22, 68664
23, 31457
24, 13615
25, 5868
26, 2249
27, 856
28, 302
29, 92
30, 22
31, 16
33, 1

Openings (Openings, Count)
2, 9
3, 140
4, 1737
5, 14491
6, 83260
7, 360558
8, 1187781
9, 3084221
10, 6386952
11, 10736992
12, 14789775
13, 16864762
14, 16041404
15, 12819368
16, 8664557
17, 4971074
18, 2440019
19, 1025381
20, 371091
21, 115844
22, 31462
23, 7309
24, 1499
25, 273
26, 35
27, 3
28, 3

Average Number Occurrence (Number, Average Occurrence Per Board)
0, 70.48748
1, 130.73993
2, 108.18771
3, 52.11170
4, 15.91870
5, 3.13908
6, 0.38742
7, 0.02716
8, 0.00082
